Date,City,Rainfall_mm,Temperature_C,Humidity_%,Weather_Type
2023-01-01,Kathmandu,0.2,10.8,80,Drizzle
2023-01-02,Kathmandu,0.0,10.1,76,Cloudy
2023-01-03,Kathmandu,0.0,8.9,72,Cloudy
2023-01-04,Kathmandu,0.7,8.8,69,Drizzle
2023-01-05,Kathmandu,0.0,10.1,55,Clear
2023-01-06,Kathmandu,0.0,11.6,52,Clear
2023-01-07,Kathmandu,0.0,12.9,39,Clear
2023-01-08,Kathmandu,0.0,12.9,36,Clear
2023-01-09,Kathmandu,0.0,12.7,40,Clear
2023-01-10,Kathmandu,0.0,12.7,46,Cloudy
2023-01-11,Kathmandu,0.0,11.9,55,Cloudy
2023-01-12,Kathmandu,0.0,11.5,57,Cloudy
2023-01-13,Kathmandu,0.0,11.9,54,Clear
2023-01-14,Kathmandu,0.0,11.4,59,Clear
2023-01-15,Kathmandu,0.0,11.2,71,Cloudy
2023-01-16,Kathmandu,0.0,9.2,81,Cloudy
2023-01-17,Kathmandu,0.0,8.3,79,Cloudy
2023-01-18,Kathmandu,0.0,8.3,71,Cloudy
2023-01-19,Kathmandu,0.0,8.7,74,Cloudy
2023-01-20,Kathmandu,0.0,11.4,67,Cloudy
2023-01-21,Kathmandu,0.0,12.8,52,Clear
2023-01-22,Kathmandu,0.0,12.3,46,Cloudy
2023-01-23,Kathmandu,0.0,14.0,47,Cloudy
2023-01-24,Kathmandu,0.0,13.1,50,Clear
2023-01-25,Kathmandu,0.0,14.2,58,Cloudy
2023-01-26,Kathmandu,0.0,14.9,57,Cloudy
2023-01-27,Kathmandu,0.0,15.6,39,Cloudy
2023-01-28,Kathmandu,0.0,14.6,41,Clear
2023-01-29,Kathmandu,0.0,13.9,58,Clear
2023-01-30,Kathmandu,0.0,14.5,59,Cloudy
2023-01-31,Kathmandu,0.0,15.8,43,Cloudy
2023-02-01,Kathmandu,0.0,14.8,56,Clear
2023-02-02,Kathmandu,0.0,14.1,61,Clear
